YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,WS10M,WD10M,Updated_T_C,Power_Output_kW
2022,1,1,0,0.0,0.0,13.79,2.91,44.3,13.79,0.0
2022,1,1,1,0.0,0.0,13.24,2.79,46.3,13.24,0.0
2022,1,1,2,0.0,0.0,12.75,2.79,47.9,12.75,0.0
2022,1,1,3,0.0,0.0,12.37,2.84,50.4,12.37,0.0
2022,1,1,4,0.0,0.0,12.08,2.92,54.9,12.08,0.0
2022,1,1,5,0.0,0.0,11.87,2.98,60.3,11.87,0.0
2022,1,1,6,0.0,0.0,11.8,2.99,64.0,11.8,0.0
2022,1,1,7,38.03,16.75,13.06,3.72,65.0,13.92233025,18966.701384637978
2022,1,1,8,176.1,75.72,14.9,3.35,59.7,18.933790625,85820.35150781978
2022,1,1,9,308.73,134.95,17.75,2.57,54.8,24.9723524375,146218.49333289452
2022,1,1,10,447.35,196.95,21.74,2.91,73.6,32.1101321875,204612.69408903504
2022,1,1,11,543.2,239.63,23.56,2.35,68.8,36.342175,243228.0026746416
2022,1,1,12,587.78,262.03,24.3,1.83,52.6,38.322226625,260544.09207335996
2022,1,1,13,543.78,241.9,24.9,1.77,33.7,37.892943374999994,241570.90660976616
2022,1,1,14,445.88,196.76,25.41,2.08,22.9,35.977356,200020.88993643483
2022,1,1,15,285.67,124.8,25.28,2.45,16.4,31.984317812500002,130743.83620363084
2022,1,1,16,124.75,53.92,24.09,2.42,9.0,27.020065625,58502.549176460816
2022,1,1,17,12.0,5.22,20.19,2.67,358.7,20.469975,5806.163136312
2022,1,1,18,0.0,0.0,18.78,3.21,357.0,18.78,0.0
2022,1,1,19,0.0,0.0,18.13,3.5,359.2,18.13,0.0
2022,1,1,20,0.0,0.0,17.43,3.59,5.8,17.43,0.0
2022,1,1,21,0.0,0.0,16.72,3.5,15.4,16.72,0.0
2022,1,1,22,0.0,0.0,16.08,3.39,25.1,16.08,0.0
2022,1,1,23,0.0,0.0,15.51,3.26,33.3,15.51,0.0
2022,1,2,0,0.0,0.0,14.97,3.14,40.5,14.97,0.0
2022,1,2,1,0.0,0.0,14.48,3.06,46.3,14.48,0.0
2022,1,2,2,0.0,0.0,14.02,2.96,48.8,14.02,0.0
2022,1,2,3,0.0,0.0,13.59,2.88,50.1,13.59,0.0
2022,1,2,4,0.0,0.0,13.21,2.81,52.1,13.21,0.0
2022,1,2,5,0.0,0.0,12.92,2.75,53.7,12.92,0.0
2022,1,2,6,0.0,0.0,12.68,2.71,58.1,12.68,0.0
2022,1,2,7,37.45,16.53,14.0,2.88,63.3,14.86884,18596.86602064368
2022,1,2,8,181.43,78.59,16.83,3.34,65.0,20.987014875,87571.1221237986
2022,1,2,9,367.35,160.42,20.76,2.47,69.7,29.376653437500003,170304.08143513062
2022,1,2,10,516.22,227.07,24.63,2.32,81.1,36.786981,230625.27058375988
2022,1,2,11,613.22,272.6,26.44,1.72,68.2,41.1112885,267933.23147831287
